16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7,68; 	 0.000; 	-1.795; 	-2.792; 	 2.452; 	104.801; 	-22.485; 	-14.863; 	-14.558; 
7,72; 	 0.000; 	-1.586; 	-2.580; 	 1.243; 	104.344; 	-22.942; 	-15.320; 	-16.235; 
7,76; 	 0.000; 	-1.482; 	-2.898; 	 1.463; 	104.801; 	-24.238; 	-17.607; 	-17.378; 
7,8; 	 0.000; 	-1.273; 	-3.323; 	 1.134; 	105.715; 	-23.628; 	-17.302; 	-16.082; 
7,84; 	 0.000; 	-1.273; 	-3.004; 	 1.243; 	103.886; 	-23.704; 	-16.997; 	-18.521; 
7,88; 	 0.000; 	-1.169; 	-2.474; 	 1.353; 	104.191; 	-25.914; 	-18.521; 	-16.997; 
7,92; 	 0.000; 	-1.690; 	-3.004; 	 1.573; 	104.496; 	-26.372; 	-18.216; 	-18.674; 
7,96; 	 0.000; 	-0.856; 	-3.111; 	 1.353; 	104.496; 	-27.439; 	-20.350; 	-19.436; 
8; 	 0.000; 	-1.795; 	-2.686; 	 1.573; 	104.648; 	-28.811; 	-20.960; 	-18.140; 
8,04; 	 0.000; 	-1.169; 	-3.004; 	 1.683; 	104.191; 	-28.049; 	-22.637; 	-19.893; 
8,08; 	 0.000; 	-1.482; 	-3.004; 	 1.573; 	104.648; 	-28.658; 	-21.417; 	-18.902; 
8,12; 	 0.000; 	-1.378; 	-2.474; 	 0.914; 	103.886; 	-29.725; 	-21.722; 	-21.570; 
8,16; 	 0.000; 	-1.273; 	-3.217; 	 1.353; 	102.819; 	-29.116; 	-22.485; 	-20.198; 
