16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7,72; 	 0.000; 	-0.647; 	-3.642; 	 2.013; 	104.801; 	16.692; 	16.082; 	16.997; 
7,76; 	 0.000; 	-0.543; 	-3.323; 	 1.243; 	104.496; 	16.692; 	13.262; 	16.768; 
7,8; 	 0.000; 	-0.856; 	-4.279; 	 3.112; 	106.935; 	20.046; 	17.607; 	19.817; 
7,84; 	 0.000; 	-0.647; 	-5.022; 	 1.793; 	105.106; 	18.521; 	16.235; 	18.445; 
7,88; 	 0.000; 	-0.752; 	-3.429; 	 1.573; 	104.801; 	18.064; 	17.149; 	18.750; 
7,92; 	 0.000; 	-0.543; 	-3.111; 	 1.793; 	105.411; 	19.131; 	16.692; 	17.302; 
7,96; 	 0.000; 	-0.752; 	-3.111; 	 1.793; 	105.106; 	19.131; 	16.844; 	20.503; 
8; 	 0.000; 	-0.022; 	-2.898; 	 1.134; 	103.886; 	17.911; 	15.168; 	16.997; 
8,04; 	 0.000; 	-0.856; 	-3.535; 	 1.903; 	105.106; 	18.521; 	17.607; 	18.826; 
8,08; 	 0.000; 	-0.856; 	-3.748; 	 2.068; 	105.106; 	17.759; 	16.082; 	16.768; 
8,12; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	105.563; 	18.216; 	16.692; 	17.302; 
8,16; 	 0.000; 	 1.021; 	-3.323; 	 2.013; 	105.411; 	18.216; 	18.216; 	17.683; 
