16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7,28; 	 0.000; 	-7.427; 	123.996; 	 7.287; 	105.715; 	-30.030; 	54.115; 	-17.302; 
7,32; 	 0.000; 	-7.531; 	124.846; 	 7.507; 	105.106; 	-30.335; 	53.353; 	-17.607; 
7,36; 	 0.000; 	-7.531; 	125.908; 	 7.782; 	104.801; 	-29.725; 	53.201; 	-17.302; 
7,4; 	 0.000; 	-7.323; 	127.076; 	 8.056; 	105.868; 	-29.268; 	55.106; 	-15.549; 
7,44; 	 0.000; 	-8.157; 	128.032; 	 8.826; 	106.478; 	-27.896; 	54.115; 	-15.701; 
7,48; 	 0.000; 	-7.949; 	129.200; 	 8.386; 	104.496; 	-28.506; 	54.725; 	-15.625; 
7,52; 	 0.000; 	-8.366; 	129.624; 	 8.056; 	106.173; 	-28.049; 	54.268; 	-15.320; 
7,56; 	 0.000; 	-8.366; 	130.792; 	 8.166; 	105.258; 	-27.896; 	54.725; 	-14.786; 
7,6; 	 0.000; 	-8.157; 	131.536; 	 7.727; 	104.496; 	-27.591; 	54.268; 	-15.472; 
7,64; 	 0.000; 	-8.783; 	132.916; 	 8.606; 	105.106; 	-26.067; 	56.326; 	-13.948; 
7,68; 	 0.000; 	-8.783; 	133.766; 	 8.606; 	105.106; 	-25.152; 	55.868; 	-13.262; 
7,72; 	 0.000; 	-9.096; 	134.615; 	 8.716; 	105.106; 	-25.457; 	56.173; 	-12.729; 
7,76; 	 0.000; 	-9.200; 	135.040; 	 9.210; 	106.020; 	-22.256; 	58.003; 	-11.128; 
7,8; 	 0.000; 	-8.992; 	136.686; 	 8.386; 	106.630; 	-22.713; 	58.612; 	-10.518; 
7,84; 	 0.000; 	-8.992; 	137.854; 	 7.727; 	105.411; 	-23.018; 	57.850; 	-10.899; 
7,88; 	 0.000; 	-9.409; 	138.491; 	 8.826; 	106.020; 	-21.265; 	59.679; 	-9.604; 
7,92; 	 0.000; 	-10.035; 	138.810; 	 8.606; 	106.935; 	-19.131; 	61.356; 	-7.851; 
7,96; 	 0.000; 	-9.305; 	140.827; 	 8.276; 	106.020; 	-18.674; 	59.832; 	-7.698; 
8; 	 0.000; 	-9.618; 	141.783; 	 8.606; 	106.173; 	-17.911; 	61.356; 	-8.155; 
8,04; 	 0.000; 	-9.826; 	142.420; 	 9.650; 	106.935; 	-16.387; 	63.185; 	-5.945; 
8,08; 	 0.000; 	-9.618; 	143.588; 	 8.991; 	106.020; 	-15.777; 	62.881; 	-6.174; 
8,12; 	 0.000; 	-9.826; 	145.181; 	 9.650; 	106.325; 	-14.558; 	64.100; 	-5.030; 
8,16; 	 0.000; 	-9.513; 	146.030; 	 9.210; 	105.868; 	-13.643; 	63.338; 	-5.030; 
8,2; 	 0.000; 	-10.035; 	146.668; 	 9.540; 	106.935; 	-11.966; 	65.777; 	-2.058; 
8,24; 	 0.000; 	-9.722; 	148.048; 	 9.100; 	105.715; 	-11.357; 	64.252; 	-3.735; 
8,28; 	 0.000; 	-9.930; 	149.110; 	 8.881; 	105.868; 	-11.357; 	65.929; 	-2.820; 
