16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7; 	 0.000; 	-2.108; 	27.896; 	 1.683; 	105.563; 	13.262; 	33.612; 	12.043; 
7,04; 	 0.000; 	-2.003; 	28.215; 	 1.903; 	105.411; 	11.585; 	31.326; 	10.976; 
7,08; 	 0.000; 	-2.316; 	28.215; 	 2.672; 	106.325; 	12.195; 	30.869; 	10.442; 
7,12; 	 0.000; 	-2.733; 	28.374; 	 1.793; 	106.020; 	11.890; 	31.021; 	10.366; 
7,16; 	 0.000; 	-2.629; 	29.011; 	 1.463; 	105.258; 	10.213; 	29.497; 	 8.994; 
7,2; 	 0.000; 	-2.003; 	29.755; 	 0.914; 	105.258; 	 8.537; 	29.039; 	 8.079; 
7,24; 	 0.000; 	-2.525; 	29.011; 	 1.134; 	106.020; 	 8.841; 	29.039; 	 8.537; 
7,28; 	 0.000; 	-2.421; 	29.861; 	 0.694; 	105.411; 	 8.689; 	27.972; 	 7.088; 
7,32; 	 0.000; 	-1.899; 	29.648; 	 1.024; 	106.020; 	 7.317; 	25.838; 	 7.317; 
7,36; 	 0.000; 	-2.108; 	30.604; 	 0.914; 	104.953; 	 4.878; 	25.228; 	 5.488; 
7,4; 	 0.000; 	-1.743; 	30.285; 	 1.353; 	105.715; 	 3.659; 	25.991; 	 3.354; 
7,44; 	 0.000; 	-2.942; 	30.923; 	 2.452; 	107.392; 	 5.183; 	26.448; 	 8.079; 
7,48; 	 0.000; 	-1.690; 	31.560; 	 1.134; 	104.496; 	 2.439; 	23.704; 	 4.268; 
7,52; 	 0.000; 	-0.647; 	31.985; 	 0.145; 	104.191; 	-0.610; 	22.332; 	 2.134; 
7,56; 	 0.000; 	-2.003; 	32.409; 	 1.353; 	105.411; 	-0.305; 	21.570; 	 4.878; 
7,6; 	 0.000; 	-2.212; 	32.515; 	 1.024; 	104.039; 	-1.067; 	19.741; 	 0.229; 
7,64; 	 0.000; 	-1.378; 	32.303; 	 0.584; 	105.258; 	-1.677; 	21.417; 	 0.762; 
7,68; 	 0.000; 	-2.316; 	33.365; 	 1.463; 	104.648; 	-3.811; 	17.302; 	-1.448; 
7,72; 	 0.000; 	-2.421; 	32.940; 	 0.804; 	104.344; 	-3.811; 	18.064; 	-1.524; 
7,76; 	 0.000; 	-2.838; 	33.153; 	 0.804; 	104.648; 	-6.174; 	15.472; 	-2.287; 
7,8; 	 0.000; 	-2.316; 	33.790; 	 1.243; 	105.106; 	-6.479; 	15.168; 	-3.887; 
7,84; 	 0.000; 	-1.899; 	34.108; 	 0.914; 	105.411; 	-7.851; 	14.634; 	-2.439; 
7,88; 	 0.000; 	-3.985; 	33.684; 	 1.243; 	105.715; 	-8.918; 	10.976; 	-3.582; 
7,92; 	 0.000; 	-2.525; 	34.108; 	 0.254; 	104.801; 	-9.527; 	12.805; 	-4.726; 
7,96; 	 0.000; 	-3.151; 	33.259; 	 2.123; 	106.935; 	-10.442; 	11.585; 	-3.582; 
8; 	 0.000; 	-2.942; 	34.002; 	 1.903; 	106.249; 	-10.594; 	12.347; 	-4.573; 
8,04; 	 0.000; 	-3.255; 	34.533; 	 2.452; 	106.325; 	-11.204; 	10.976; 	-4.878; 
8,08; 	 0.000; 	-3.464; 	34.427; 	 3.002; 	106.478; 	-13.186; 	10.518; 	-6.326; 
8,12; 	 0.000; 	-3.672; 	33.471; 	 2.452; 	107.392; 	-13.796; 	 9.908; 	-7.393; 
8,16; 	 0.000; 	-3.777; 	34.745; 	 4.320; 	107.545; 	-14.863; 	 9.146; 	-7.774; 
8,2; 	 0.000; 	-3.672; 	34.639; 	 2.562; 	106.478; 	-14.405; 	 8.079; 	-8.308; 
8,24; 	 0.000; 	-3.568; 	34.321; 	 3.002; 	106.325; 	-17.835; 	 7.622; 	-10.213; 
8,28; 	 0.000; 	-3.568; 	35.383; 	 3.771; 	107.545; 	-17.607; 	 7.774; 	-9.299; 
